variable,results,se,(lower,upper),missInfo,or,ll,ul,z,p.value
psd_scale,0.13842389375990968,0.03367196419383463,0.0724271096442235,0.20442067787559587,2 %,1.1484622730985647,1.0751144377601731,1.2268141384823865,4.110953936725059,3.9402781085495775e-5
phbae_scale,0.19996615726876335,0.03308808826108046,0.1350904155192944,0.2648418990182323,8 %,1.2213614232543408,1.144640272917439,1.3032249183508018,6.043448496961718,1.5085455107310963e-9
par_sch_inv,0.07651742962008659,0.01769959783383655,0.04179121433002189,0.11124364491015129,13 %,1.0795210058141986,1.0426767600573632,1.1176671876047048,4.323116849231864,1.5384019993680553e-5
"x1raceAmer. Indian/Alaska Native, non-Hispanic",-1.1109817158457462,0.28594478785679067,-1.6714374980632014,-0.5505259336282909,2 %,0.32923558657789936,0.18797665525025728,0.5766464528533265,-3.8853015093324856,1.0220296713714383e-4
"x1raceBlack/African-American, non-Hispanic",-0.5171676650830419,0.17112223057213174,-0.8525625505521527,-0.18177277961393112,1 %,0.5962068161879485,0.4263210617263243,0.8337907731548071,-3.022212037290178,0.002509347074811652
"x1raceHispanic, no race specified",-1.246838528551605,0.4085962658020866,-2.0476729451893654,-0.4460041119138448,0 %,0.28741200689898666,0.12903482559662713,0.6401811396865437,-3.051517189233299,0.0022768801123129734
"x1raceHispanic, race specified",-1.0478368785020993,0.17310520287004683,-1.387117299380775,-0.7085564576234236,0 %,0.35069552626573564,0.24979435006498482,0.49235441918844725,-6.053179575941049,1.4201440023953182e-9
"x1raceMore than one race, non-Hispanic",-1.0004279924333066,0.16703085200235893,-1.3278033680577837,-0.6730526168088296,1 %,0.3677220252430679,0.26505885904421644,0.5101489093269903,-5.989480269304846,2.1051267395932882e-9
"x1raceNative Hawaiian/Pacific Islander, non-Hispanic",-0.5928379170808116,0.6565824337574222,-1.8797168203000232,0.6940409861384,0 %,0.552756379967843,0.15263332229598603,2.0017884102833916,-0.9029146784938792,0.36657117963557484
"x1raceWhite, non-Hispanic",-0.8800099774738067,0.14758131991603185,-1.1692645981202203,-0.5907553568273931,1 %,0.41477877321659035,0.3105952696437821,0.5539087279351417,-5.962881874037302,2.4782758067942723e-9
x1ses,0.32656458729662974,0.04487507136084706,0.2386092629307145,0.414519911662545,2 %,1.3861977776388474,1.2694824058270475,1.5136438834526615,7.2771937156528566,3.4083846855992306e-13
female,0.2136627676330202,0.051402562374126444,0.11291489676744265,0.31441063849859774,1 %,1.23820502156746,1.1195366527062034,1.369451970803152,4.156655967418613,3.229397318960103e-5
as.numeric(math_level1),0.9993163206877439,0.04603476575476022,0.9090898175949225,1.0895428237805653,0 %,2.7164240305494087,2.482062375460412,2.9729146159663005,21.707861532550748,0
math_score,0.07741787841503511,0.003933522590226979,0.06970818319911457,0.08512757363095566,2 %,1.0804934969765445,1.0721952510092116,1.0888559671475098,19.681564460156768,0
iss,-0.6039835162553799,0.10830024589524288,-0.8164416625638571,-0.39152536994690285,12 %,0.5466297846261061,0.4420016505816191,0.6760248995613345,-5.576935779440461,2.447921887416271e-8
urban1 urban,-0.02760974256832634,0.09156567998077654,-0.20707531865229387,0.15185583351564116,0 %,0.9727679226452913,0.8129584167492769,1.163992415640953,-0.30152937841036925,0.7630108510735338
public1 public,-0.4890255466371925,0.10750733004938527,-0.6997366976518709,-0.2783143956225141,1 %,0.6132236609914363,0.4967160730831195,0.7570587681321391,-4.548764688068716,5.3961740891228516e-6
1|2,3.076795585668564,0.26447644980818547,2.5584195350683356,3.5951716362687924,2 %,21.68879105109117,12.9153888573966,36.42195077916634,11.633533299089748,0
2|3,4.6695137414805385,0.2785957171363988,4.123465246348379,5.215562236612698,2 %,106.64587235834051,61.772930230787715,184.11530825201112,16.76089564289451,0
3|4,7.579775220825795,0.29577030982217206,7.000064840745496,8.159485600906093,2 %,1958.1887558634664,1096.7042672453365,3496.387602486021,25.62723494925178,0
